BODEGA (COMERCIAL/INDUSTRIAL),CODIGO,LOTE,PRECIO1,PRECIO2,IVA(12/0/EX/NO)
COMERCIAL,7861028802501.4099.0000,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802501.4104.0000,COBERTOR VELVET DREAM STRIPE 1.5-TWIN,89.2768,0,0
COMERCIAL,7861028802518.3674.0000,COBERTOR VELVET DREAM STRIPE 2-FULL,109.9196,0,0
COMERCIAL,7861028802518.3686.0000,COBERTOR VELVET DREAM STRIPE 2-FULL,109.9196,0,0
COMERCIAL,7861028802518.3696.0000,COBERTOR VELVET DREAM STRIPE 2-FULL,109.9196,0,0
COMERCIAL,7861028802518.4099.0000,COBERTOR VELVET DREAM STRIPE 2-FULL,109.9196,0,0
COMERCIAL,7861028802518.4104.0000,COBERTOR VELVET DREAM STRIPE 2-FULL,109.9196,0,0
COMERCIAL,7861028802525.3675.0000,COBERTOR VELVET DREAM STRIPE 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802525.3679.0000,COBERTOR VELVET DREAM STRIPE 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802525.3687.0000,COBERTOR VELVET DREAM STRIPE 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802525.3697.0000,COBERTOR VELVET DREAM STRIPE 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802525.4099.0000,COBERTOR VELVET DREAM STRIPE 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802525.4104.0000,COBERTOR VELVET DREAM STRIPE 2.5-QUEEN,120.5268,0,0
COMERCIAL,7861028802532.3676.0000,COBERTOR VELVET DREAM STRIPE 3-KING,133.9196,0,0
COMERCIAL,7861028802532.3680.0000,COBERTOR VELVET DREAM STRIPE 3-KING,133.9196,0,0
COMERCIAL,7861028802532.3684.0000,COBERTOR VELVET DREAM STRIPE 3-KING,133.9196,0,0
COMERCIAL,7861028802532.3688.0000,COBERTOR VELVET DREAM STRIPE 3-KING,133.9196,0,0
COMERCIAL,7861028802532.3698.0000,COBERTOR VELVET DREAM STRIPE 3-KING,133.9196,0,0
COMERCIAL,7861028802532.4099.0000,COBERTOR VELVET DREAM STRIPE 3-KING,133.9196,0,0
COMERCIAL,7861028802532.4104.0000,COBERTOR VELVET DREAM STRIPE 3-KING,133.9196,0,0
COMERCIAL,7861028802600.4243.4241,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 1.5-TWIN,119.9107,0,0
COMERCIAL,7861028802617.4243.4241,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2-FULL,140.6607,0,0
COMERCIAL,7861028802617.4759.4759,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2-FULL,140.6607,0,0
COMERCIAL,7861028802624.3939.3939,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2.5-QUEEN,150.0893,0,0
COMERCIAL,7861028802624.3941.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2.5-QUEEN,150.0893,0,0
COMERCIAL,7861028802624.3945.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2.5-QUEEN,150.0893,0,0
COMERCIAL,7861028802624.3948.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2.5-QUEEN,150.0893,0,0
COMERCIAL,7861028802624.4243.4241,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2.5-QUEEN,150.0893,0,0
COMERCIAL,7861028802624.4244.4244,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2.5-QUEEN,150.0893,0,0
COMERCIAL,7861028802624.4759.4759,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 2.5-QUEEN,150.0893,0,0
COMERCIAL,7861028802631.3939.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802631.3940.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802631.3941.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802631.3942.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802631.3945.3945,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802631.3948.0000,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
